depto,deptodesc.x,munic,municdesc.x,poblacion_total,poblacion_hombres,poblacion_mujeres,adolescents_out_of_school_count,adolescents_population_13_15,adolescents_out_of_school_rate,adult_literate_count,adult_population_15_plus,adult_literacy_rate,youth_literate_count,youth_population_15_24.x,youth_literacy_rate,primary_completion_count,primary_school_age_population,primary_completion_rate,lower_secondary_completion_count,lower_secondary_age_population,lower_secondary_completion_rate,primary_enrolled_count,primary_age_population,net_primary_enrollment_rate,secondary_enrolled_count,secondary_age_population,net_secondary_enrollment_rate,child_employment_count,child_population_7_14,child_employment_rate,youth_labor_force_count,youth_lfpr_rate,labor_force_count,population_15_plus,lfpr_rate,neet_count,neet_population_15_24,neet_rate,unemployment_count,labor_force_population_15_plus,unemployment_rate,youth_unemployment_count,youth_labor_force_population,youth_unemployment_rate,vulnerable_employment_count,employed_population,vulnerable_employment_rate,total_households,households_with_emigrants,households_with_1_emigrant,households_with_2plus_emigrants,total_emigrants_household,households_receiving_remittances,pct_households_with_emigrants,pct_households_receiving_remittances,depto_name,dept_geo_code,munic_name
08,08,02,0802,92118,42784,49334,292,4521,6.458748064587481,63297,71251,88.83664790669604,15153,15603,97.11593924245338,7962,9012,88.34886817576565,2978,4521,65.87038265870383,8625,9012,95.70572569906791,4183,4521,92.52377792523778,123,11984,1.0263684913217623,6572,42.12010510799205,39783,71251,55.83500582447966,2659,15603,17.04159456514773,1796,39783,4.51449111429505,569,6572,8.65794278758369,10615,38110,27.853581737076883,29880,2549,1781,768,3724,7892,8.53078982597055,26.41231593038822,San Vicente,SVSV,San Vicente Sur
08,08,03,0803,108708,51086,57622,402,5343,7.523862998315553,75158,83994,89.48020096673572,17773,18246,97.40765099199825,8821,10442,84.47615399348784,3137,5343,58.71233389481565,9939,10442,95.18291515035433,4883,5343,91.39060452929066,132,13951,0.9461687334241273,8394,46.004603748766854,48290,83994,57.49220182393981,3071,18246,16.831086265482845,2076,48290,4.2990267136053015,734,8394,8.744341196092448,12814,46346,27.648556509731154,35833,2445,1715,730,3578,7763,6.823319286691039,21.664387575698377,NA,NA,NA
09,09,01,0901,68054,31102,36952,757,3864,19.591097308488614,40418,50204,80.50752928053542,9925,10407,95.368501969828,6805,7808,87.15420081967213,2038,3864,52.74327122153209,7346,7808,94.08299180327869,3065,3864,79.32194616977226,249,10428,2.3878020713463752,4033,38.752762563659076,22200,50204,44.21958409688471,3239,10407,31.123282406072835,753,22200,3.391891891891892,232,4033,5.752541532358046,8227,21696,37.91943215339233,20451,3843,2498,1345,5961,10277,18.79125715123955,50.251821426825096,Cabañas,SVCA,Cabañas Este
09,09,02,0902,74995,34531,40464,593,4350,13.632183908045977,45885,55818,82.20466516177576,11908,12289,96.89966636829685,7440,8405,88.51873884592504,2698,4350,62.02298850574713,8036,8405,95.60975609756098,3727,4350,85.67816091954023,270,11317,2.3857912874436686,4929,40.10904060541948,26105,55818,46.768067648428826,3450,12289,28.07388721620962,1092,26105,4.183106684543191,336,4929,6.816798539257456,10457,25283,41.359806984930586,22456,3585,2423,1162,5377,9418,15.964552903455647,41.93979337370858,Cabañas,SVCA,Cabañas Oeste
10,10,01,1001,62613,29479,33134,277,3308,8.373639661426845,40642,47758,85.09987855437832,9261,9567,96.80150517403575,5479,6343,86.37868516474855,2022,3308,61.12454655380895,6113,6343,96.37395554154186,2987,3308,90.2962515114873,102,8576,1.189365671641791,3471,36.28096582000627,22177,47758,46.43619917081955,2446,9567,25.567053412773074,812,22177,3.6614510528926365,274,3471,7.893978680495534,8690,21467,40.480737876741046,20983,2936,1988,948,4371,8893,13.992279464328266,42.38192822761283,Usulután,SVUS,Usulután Este
10,10,02,1002,99244,46049,53195,404,5155,7.837051406401552,64165,76132,84.28124835811485,14882,15652,95.08050089445439,8596,10128,84.8736176935229,3000,5155,58.19592628516004,9578,10128,94.5695102685624,4597,5155,89.17555771096023,151,13554,1.1140622694407556,6192,39.56043956043956,40892,76132,53.71197393999895,3094,15652,19.767441860465116,1790,40892,4.377384329453194,520,6192,8.397932816537468,17063,39253,43.46928897154358,33112,3691,2553,1138,5420,11136,11.1470161874849,33.63131191108963,Usulután,SVUS,Usulután Norte
11,11,01,1101,149297,68870,80427,586,7497,7.816459917300254,96219,114488,84.04286912165468,22778,23416,97.27536727024257,13225,15128,87.42067689053411,4586,7497,61.17113512071495,14532,15128,96.06028556319407,6870,7497,91.63665466186474,255,20026,1.2733446519524618,9438,40.30577382985992,58831,114488,51.386171476486616,4784,23416,20.43047488896481,2483,58831,4.220563988373477,797,9438,8.44458571731299,23071,56603,40.75932371075738,50978,5490,3575,1915,8442,21517,10.769351484954294,42.208403625093176,San Miguel,SVSM,San Miguel Centro
11,11,02,1102,108523,51008,57515,468,5622,8.32443970117396,68928,81454,84.62199523657524,17278,17675,97.75388967468176,10485,12108,86.59563924677899,3576,5622,63.607257203842046,11622,12108,95.98612487611497,5132,5622,91.28424048381359,207,15851,1.3059112989716737,7022,39.728429985855726,41308,81454,50.71328602646893,3950,17675,22.34794908062235,2034,41308,4.923985668635615,682,7022,9.71233266875534,15350,39481,38.87946100656012,34826,3279,2267,1012,4761,10924,9.415379314305405,31.367369206914375,San Miguel,SVSM,San Miguel Norte
11,11,03,1103,67674,31468,36206,239,3484,6.859931113662457,41559,50770,81.85739610005909,10197,10547,96.6815208116052,6357,7451,85.3174070594551,2026,3484,58.15154994259472,7180,7451,96.36290430814655,3224,3484,92.53731343283582,162,9825,1.6488549618320612,4408,41.79387503555513,26125,50770,51.45755367342919,2514,10547,23.836161941784393,1073,26125,4.107177033492823,352,4408,7.985480943738657,8780,25214,34.821924327754424,24224,2784,1821,963,4257,9094,11.492734478203435,37.54128137384412,San Miguel,SVSM,San Miguel Oeste
12,12,01,1201,290274,132797,157477,1044,14095,7.406881873004612,195349,225071,86.79438932603489,46306,48075,96.32033281331253,24601,28652,85.86137093396621,8675,14095,61.54664774742817,27137,28652,94.71241100097724,12822,14095,90.96842852075204,492,38073,1.2922543534788433,20794,43.2532501300052,124922,225071,55.50337449071626,7464,48075,15.525741029641186,4770,124922,3.818382670786571,1499,20794,7.208810233721266,37830,120644,31.356718941679652,95694,8556,5937,2619,12614,36063,8.940999435701299,37.685748322778856,Morazán,SVMO,Morazán Norte
12,12,02,1202,72035,33372,38663,623,4137,15.05922165820643,39825,52744,75.50621871682087,11288,11691,96.55290394320417,7410,8583,86.33344984271234,2149,4137,51.94585448392555,8195,8583,95.47943609460562,3491,4137,84.38481991781484,247,11399,2.166856741819458,4532,38.76486185955008,22957,52744,43.525329895343546,3564,11691,30.484988452655887,592,22957,2.5787341551596463,179,4532,3.9496910856134155,9766,22612,43.18945692552627,22487,3311,2225,1086,4941,9669,14.724062791835282,42.99817672432961,Morazán,SVMO,Morazán Sur
12,12,03,1203,85325,39272,46053,409,4333,9.439187629817678,54033,65021,83.100844342597,13523,13869,97.5052274857596,7729,8776,88.06973564266181,2910,4333,67.15901223171014,8319,8776,94.7926162260711,3906,4333,90.1453957996769,114,11608,0.9820813232253618,5084,36.6572932439253,30821,65021,47.40160871103182,3172,13869,22.87115148893215,1422,30821,4.613737386846631,415,5084,8.162863886703382,8584,29513,29.085487751160507,27841,2855,1999,856,4183,9848,10.254660392945656,35.37229266190151,NA,NA,NA
13,13,01,1301,55667,26160,29507,265,3028,8.751651254953766,32392,41531,77.99475090895957,8973,9206,97.46904192917663,5470,6285,87.03261734287987,1670,3028,55.15191545574637,6069,6285,96.56324582338902,2750,3028,90.81902245706738,112,8302,1.349072512647555,3695,40.1368672604823,20132,41531,48.47463340637115,2347,9206,25.49424288507495,547,20132,2.7170673554540037,190,3695,5.142083897158322,8927,19697,45.321622582119105,18242,2422,1617,805,3566,6090,13.277052954719878,33.38449731389102,La Unión,SVUN,La Unión Norte
13,13,02,1302,114117,52896,61221,580,6150,9.43089430894309,68263,86585,78.83929087024312,18943,19451,97.38830908436584,10517,12243,85.90214816629911,3625,6150,58.94308943089431,11715,12243,95.68733153638814,5559,6150,90.39024390243902,275,16324,1.6846361185983827,7513,38.6252634825973,41018,86585,47.37310157648553,4633,19451,23.818826795537504,1535,41018,3.7422594958310986,511,7513,6.8015439904166115,15540,39758,39.086473162633936,36611,4225,3001,1224,6065,14303,11.540247466608397,39.06749337630767,La Unión,SVUN,La Unión Sur
14,14,01,1401,107540,50433,57107,817,5788,14.115411195577057,62993,81849,76.96245525296582,15804,16466,95.97959431555934,9746,11434,85.23701241910092,3613,5788,62.42225293711127,10645,11434,93.09952772433094,4920,5788,85.00345542501728,228,15349,1.4854387908007036,6168,37.45900643750759,34293,81849,41.897885129934394,5028,16466,30.53564921656747,1063,34293,3.0997579680984457,344,6168,5.577172503242542,15208,33458,45.454002032398826,34255,4566,2991,1575,7054,17676,13.329440957524449,51.6012260983798,San Salvador,SVSS,San Salvador Centro
14,14,02,1402,116835,54630,62205,802,6274,12.782913611730953,71318,87200,81.78669724770643,18480,19174,96.38051528110984,11601,13037,88.9851959806704,3689,6274,58.79821485495697,12268,13037,94.10140369716959,5439,6274,86.69110615237489,271,17214,1.5742999883815498,7706,40.18984040888704,41321,87200,47.38646788990825,4988,19174,26.014394492541985,1614,41321,3.9060042109339075,472,7706,6.12509732675837,16579,39978,41.47030866976837,38030,4266,2901,1365,6410,17980,11.217459900078886,47.278464370234026,San Salvador,SVSS,San Salvador Este
15,15,01,1501,107055,94112,12943,0,0,NA,0,107055,0,0,16996,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,107055,0,0,16996,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
